platform,number,file,nav,title,source_note
desktop,11,desktop_pages_100/011_feature_location_permission_modal.svg,功能页卡,定位授权弹窗,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,12,desktop_pages_100/012_feature_location_detecting.svg,功能页卡,定位中：正在确定小明当前位置,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,13,desktop_pages_100/013_feature_start_point_confirm.svg,功能页卡,起点确认：浙大紫金港,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,14,desktop_pages_100/014_feature_scene_identity_family_friend.svg,功能页卡,选择本次是谁一起出门,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,15,desktop_pages_100/015_feature_family_constraints.svg,功能页卡,家庭约束：孩子 5 岁 + 老婆减脂,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,16,desktop_pages_100/016_feature_friend_constraints.svg,功能页卡,朋友约束：4 人轻社交,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,17,desktop_pages_100/017_feature_profile_memory_merge.svg,功能页卡,画像记忆合并进本次规划,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,18,desktop_pages_100/018_feature_time_budget_distance.svg,功能页卡,时间 / 预算 / 距离约束确认,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,19,desktop_pages_100/019_feature_poi_radius_scope.svg,功能页卡,POI 半径与商圈范围,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,20,desktop_pages_100/020_feature_preparse_three_plans.svg,功能页卡,预解析三套方案卡片,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,21,desktop_pages_100/021_feature_agent_workbench_planning.svg,功能页卡,Agent 工作台：规划拆解,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,22,desktop_pages_100/022_feature_tool_call_stack.svg,功能页卡,工具调用栈,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,23,desktop_pages_100/023_feature_map_traffic_fetch.svg,功能页卡,地图与交通数据读取,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,24,desktop_pages_100/024_feature_restaurant_availability.svg,功能页卡,餐厅可订库存检查,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,25,desktop_pages_100/025_feature_queue_reservation_source.svg,功能页卡,排队与预约状态,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,26,desktop_pages_100/026_feature_weather_indoor_risk.svg,功能页卡,天气风险与室内兜底,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,27,desktop_pages_100/027_feature_result_overview.svg,功能页卡,结果总览,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,28,desktop_pages_100/028_feature_plan_a_family_westlake.svg,功能页卡,方案 A：亲子西湖低负担,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,29,desktop_pages_100/029_feature_plan_b_friend_citywalk.svg,功能页卡,方案 B：朋友展览轻社交,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,30,desktop_pages_100/030_feature_plan_c_rainy_indoor.svg,功能页卡,方案 C：雨天室内兜底,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,31,desktop_pages_100/031_feature_plan_compare_fixed.svg,功能页卡,多方案对比：修复溢出版,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,32,desktop_pages_100/032_feature_compare_score_detail.svg,功能页卡,评分明细：可信度 / 风险 / 预算,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,33,desktop_pages_100/033_feature_plan_merge_suggestion.svg,功能页卡,合并优点,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,34,desktop_pages_100/034_feature_plan_select_confirm.svg,功能页卡,选择最佳方案确认,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,35,desktop_pages_100/035_feature_route_map_overview.svg,功能页卡,路线地图总览,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,36,desktop_pages_100/036_feature_transport_zijingang_westlake.svg,功能页卡,交通方案：浙大紫金港 → 西湖,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,37,desktop_pages_100/037_feature_westlake_walk_route.svg,功能页卡,西湖散步路线,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,38,desktop_pages_100/038_feature_haidilao_place_detail.svg,功能页卡,海底捞餐厅详情,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,39,desktop_pages_100/039_feature_restaurant_booking_form.svg,功能页卡,餐厅预约表单,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,40,desktop_pages_100/040_feature_queue_status.svg,功能页卡,排队候位状态,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,41,desktop_pages_100/041_feature_healthy_menu.svg,功能页卡,减脂友好菜单建议,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,42,desktop_pages_100/042_feature_kid_friendly_checks.svg,功能页卡,亲子友好检查,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,43,desktop_pages_100/043_feature_movie_option_discovery.svg,功能页卡,电影作为可选加餐前活动,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,44,desktop_pages_100/044_feature_movie_seat_selection.svg,功能页卡,电影锁座页面,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,45,desktop_pages_100/045_feature_activity_ticket_booking.svg,功能页卡,活动票务预约,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,46,desktop_pages_100/046_feature_addon_flower_cake.svg,功能页卡,鲜花 / 蛋糕送到餐厅,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,47,desktop_pages_100/047_feature_authorization_overview.svg,功能页卡,授权总览弹窗,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,48,desktop_pages_100/048_feature_location_auth_detail.svg,功能页卡,授权细分：定位,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,49,desktop_pages_100/049_feature_reservation_auth_detail.svg,功能页卡,授权细分：餐厅预约,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,50,desktop_pages_100/050_feature_ticket_lock_auth.svg,功能页卡,授权细分：票务锁单,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,51,desktop_pages_100/051_feature_payment_handoff.svg,功能页卡,支付交接：用户本人付款,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,52,desktop_pages_100/052_feature_calendar_notify_auth.svg,功能页卡,授权细分：日历与通知,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,53,desktop_pages_100/053_feature_execution_checklist.svg,功能页卡,Agent 执行动作清单,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,54,desktop_pages_100/054_feature_haidilao_reserving.svg,功能页卡,执行中：海底捞预约,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,55,desktop_pages_100/055_feature_ticket_hold_executing.svg,功能页卡,执行中：电影票锁座,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,56,desktop_pages_100/056_feature_addon_delivery_schedule.svg,功能页卡,执行中：鲜花蛋糕配送,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,57,desktop_pages_100/057_feature_all_actions_completed.svg,功能页卡,执行完成状态,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,58,desktop_pages_100/058_feature_payment_success.svg,功能页卡,支付成功/待支付状态,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,59,desktop_pages_100/059_feature_navigation_push.svg,功能页卡,导航推送与到达提醒,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,60,desktop_pages_100/060_feature_share_to_wife.svg,功能页卡,把计划递给老婆确认,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,61,desktop_pages_100/061_feature_share_to_friend.svg,功能页卡,把计划发给小张,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,62,desktop_pages_100/062_feature_group_vote.svg,功能页卡,多人投票,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,63,desktop_pages_100/063_feature_wife_feedback.svg,功能页卡,老婆反馈：想少走一点,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,64,desktop_pages_100/064_feature_friend_comment_edit.svg,功能页卡,朋友反馈：加一个咖啡点,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,65,desktop_pages_100/065_feature_plan_revise_after_feedback.svg,功能页卡,协作后自动改版,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,66,desktop_pages_100/066_feature_final_itinerary_card.svg,功能页卡,最终行程卡,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,67,desktop_pages_100/067_feature_what_if_departure.svg,功能页卡,What-if：如果 15:00 才出发,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,68,desktop_pages_100/068_feature_what_if_rain.svg,功能页卡,What-if：如果下午下雨,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,69,desktop_pages_100/069_feature_what_if_budget.svg,功能页卡,What-if：预算压到 300,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,70,desktop_pages_100/070_feature_budget_conflict.svg,功能页卡,预算冲突处理,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,71,desktop_pages_100/071_feature_weather_risk_replan.svg,功能页卡,天气风险重规划,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,72,desktop_pages_100/072_feature_traffic_delay_replan.svg,功能页卡,交通拥堵重规划,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,73,desktop_pages_100/073_feature_execution_failure_fallback.svg,功能页卡,执行失败兜底,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,74,desktop_pages_100/074_feature_execution_audit_trace.svg,功能页卡,执行审计链路,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,75,desktop_pages_100/075_feature_trip_feedback_rating.svg,功能页卡,行程评分反馈,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,76,desktop_pages_100/076_feature_memory_update_after_trip.svg,功能页卡,记忆沉淀,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,77,desktop_pages_100/077_feature_history_insights.svg,功能页卡,历史与洞察,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,78,desktop_pages_100/078_case_family_westlake_afternoon.svg,场景案例,场景案例：家庭西湖下午,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,79,desktop_pages_100/079_case_friend_citywalk_exhibition.svg,场景案例,场景案例：朋友展览 Citywalk,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,80,desktop_pages_100/080_case_couple_fitness_dinner.svg,场景案例,场景案例：情侣减脂晚餐,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,81,desktop_pages_100/081_case_rainy_indoor_backup.svg,场景案例,场景案例：雨天室内兜底,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,82,desktop_pages_100/082_case_parent_child_load.svg,场景案例,场景案例：亲子低负担指标,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,83,desktop_pages_100/083_case_late_replan_story.svg,场景案例,场景案例：晚出发自动压缩,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,84,desktop_pages_100/084_case_demo_storyboard.svg,场景案例,答辩故事板,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,85,desktop_pages_100/085_design_system_colors_typography.svg,设计亮点,设计亮点：颜色与字体,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,86,desktop_pages_100/086_design_background_consistency.svg,设计亮点,底图背景统一规范,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,87,desktop_pages_100/087_design_component_library.svg,设计亮点,组件库,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,88,desktop_pages_100/088_design_modal_library.svg,设计亮点,弹窗库,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,89,desktop_pages_100/089_design_status_states.svg,设计亮点,状态页库,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,90,desktop_pages_100/090_design_navigation_consistency.svg,设计亮点,导航一致性检查,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,91,desktop_pages_100/091_design_data_requirement_matrix.svg,设计亮点,数据需求矩阵,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,92,desktop_pages_100/092_developer_console_api_key.svg,开发者,开发者：API Key 控制台,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,93,desktop_pages_100/093_developer_tool_call_logs.svg,开发者,开发者：工具调用日志,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,94,desktop_pages_100/094_developer_webhook_monitor.svg,开发者,开发者：Webhook 监控,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,95,desktop_pages_100/095_developer_quality_dashboard.svg,开发者,开发者：质量看板,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,96,desktop_pages_100/096_developer_admin_dataset.svg,开发者,开发者：测试数据集,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,97,desktop_pages_100/097_profile_center_public.svg,个人中心,个人中心：画像总览,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,98,desktop_pages_100/098_profile_login_register_setup.svg,个人中心,登录 / 注册 / 首次画像,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,99,desktop_pages_100/099_profile_notification_account.svg,个人中心,通知与账号设置,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,100,desktop_pages_100/100_profile_privacy_memory_export.svg,个人中心,隐私安全与记忆导出,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
mobile,1,mobile_pages_60/001_mobile_other_home.svg,首页,首页落地,移动端同序重绘，保留底图与执行闭环。
mobile,2,mobile_pages_60/002_mobile_chat_plan.svg,规划,9点一句话输入,移动端同序重绘，保留底图与执行闭环。
mobile,3,mobile_pages_60/003_mobile_location_plan.svg,规划,定位授权,移动端同序重绘，保留底图与执行闭环。
mobile,4,mobile_pages_60/004_mobile_map_map.svg,地图,起点确认地图,移动端同序重绘，保留底图与执行闭环。
mobile,5,mobile_pages_60/005_mobile_other_plan.svg,规划,家庭/朋友切换,移动端同序重绘，保留底图与执行闭环。
mobile,6,mobile_pages_60/006_mobile_chat_plan.svg,规划,家庭约束,移动端同序重绘，保留底图与执行闭环。
mobile,7,mobile_pages_60/007_mobile_chat_plan.svg,规划,朋友约束,移动端同序重绘，保留底图与执行闭环。
mobile,8,mobile_pages_60/008_mobile_plans_plan.svg,规划,预解析三方案,移动端同序重绘，保留底图与执行闭环。
mobile,9,mobile_pages_60/009_mobile_exec_plan.svg,规划,Agent 工作台,移动端同序重绘，保留底图与执行闭环。
mobile,10,mobile_pages_60/010_mobile_exec_plan.svg,规划,工具调用状态,移动端同序重绘，保留底图与执行闭环。
mobile,11,mobile_pages_60/011_mobile_map_map.svg,地图,地图路线总览,移动端同序重绘，保留底图与执行闭环。
mobile,12,mobile_pages_60/012_mobile_map_map.svg,地图,西湖散步路线,移动端同序重绘，保留底图与执行闭环。
mobile,13,mobile_pages_60/013_mobile_other_plan.svg,规划,海底捞详情,移动端同序重绘，保留底图与执行闭环。
mobile,14,mobile_pages_60/014_mobile_auth_plan.svg,规划,餐厅预约授权,移动端同序重绘，保留底图与执行闭环。
mobile,15,mobile_pages_60/015_mobile_auth_plan.svg,规划,电影锁座授权,移动端同序重绘，保留底图与执行闭环。
mobile,16,mobile_pages_60/016_mobile_auth_plan.svg,规划,支付由用户确认,移动端同序重绘，保留底图与执行闭环。
mobile,17,mobile_pages_60/017_mobile_exec_plan.svg,规划,执行队列,移动端同序重绘，保留底图与执行闭环。
mobile,18,mobile_pages_60/018_mobile_exec_plan.svg,规划,海底捞预约中,移动端同序重绘，保留底图与执行闭环。
mobile,19,mobile_pages_60/019_mobile_exec_plan.svg,规划,票务锁座中,移动端同序重绘，保留底图与执行闭环。
mobile,20,mobile_pages_60/020_mobile_exec_plan.svg,规划,鲜花蛋糕配送,移动端同序重绘，保留底图与执行闭环。
mobile,21,mobile_pages_60/021_mobile_exec_plan.svg,规划,全部执行完成,移动端同序重绘，保留底图与执行闭环。
mobile,22,mobile_pages_60/022_mobile_map_map.svg,地图,导航推送,移动端同序重绘，保留底图与执行闭环。
mobile,23,mobile_pages_60/023_mobile_share_message.svg,消息,发给老婆,移动端同序重绘，保留底图与执行闭环。
mobile,24,mobile_pages_60/024_mobile_share_message.svg,消息,发给小张,移动端同序重绘，保留底图与执行闭环。
mobile,25,mobile_pages_60/025_mobile_share_message.svg,消息,朋友投票,移动端同序重绘，保留底图与执行闭环。
mobile,26,mobile_pages_60/026_mobile_share_message.svg,消息,老婆反馈修改,移动端同序重绘，保留底图与执行闭环。
mobile,27,mobile_pages_60/027_mobile_plans_plan.svg,规划,协作后改版,移动端同序重绘，保留底图与执行闭环。
mobile,28,mobile_pages_60/028_mobile_share_message.svg,消息,最终行程卡,移动端同序重绘，保留底图与执行闭环。
mobile,29,mobile_pages_60/029_mobile_map_plan.svg,规划,What-if 晚出发,移动端同序重绘，保留底图与执行闭环。
mobile,30,mobile_pages_60/030_mobile_plans_plan.svg,规划,What-if 下雨,移动端同序重绘，保留底图与执行闭环。
mobile,31,mobile_pages_60/031_mobile_other_plan.svg,规划,预算冲突,移动端同序重绘，保留底图与执行闭环。
mobile,32,mobile_pages_60/032_mobile_map_plan.svg,规划,天气重规划,移动端同序重绘，保留底图与执行闭环。
mobile,33,mobile_pages_60/033_mobile_map_plan.svg,规划,交通延误兜底,移动端同序重绘，保留底图与执行闭环。
mobile,34,mobile_pages_60/034_mobile_exec_plan.svg,规划,执行失败兜底,移动端同序重绘，保留底图与执行闭环。
mobile,35,mobile_pages_60/035_mobile_profile_me.svg,我的,行程评分,移动端同序重绘，保留底图与执行闭环。
mobile,36,mobile_pages_60/036_mobile_profile_me.svg,我的,记忆沉淀,移动端同序重绘，保留底图与执行闭环。
mobile,37,mobile_pages_60/037_mobile_profile_me.svg,我的,历史洞察,移动端同序重绘，保留底图与执行闭环。
mobile,38,mobile_pages_60/038_mobile_profile_me.svg,我的,通知中心,移动端同序重绘，保留底图与执行闭环。
mobile,39,mobile_pages_60/039_mobile_profile_me.svg,我的,隐私安全,移动端同序重绘，保留底图与执行闭环。
mobile,40,mobile_pages_60/040_mobile_profile_me.svg,我的,登录注册,移动端同序重绘，保留底图与执行闭环。
mobile,41,mobile_pages_60/041_mobile_other_home.svg,首页,场景案例家庭,移动端同序重绘，保留底图与执行闭环。
mobile,42,mobile_pages_60/042_mobile_other_home.svg,首页,场景案例朋友,移动端同序重绘，保留底图与执行闭环。
mobile,43,mobile_pages_60/043_mobile_other_home.svg,首页,设计系统,移动端同序重绘，保留底图与执行闭环。
mobile,44,mobile_pages_60/044_mobile_other_home.svg,首页,弹窗库,移动端同序重绘，保留底图与执行闭环。
mobile,45,mobile_pages_60/045_mobile_other_home.svg,首页,状态页库,移动端同序重绘，保留底图与执行闭环。
mobile,46,mobile_pages_60/046_mobile_other_home.svg,首页,开发者日志,移动端同序重绘，保留底图与执行闭环。
mobile,47,mobile_pages_60/047_mobile_other_home.svg,首页,Webhook 监控,移动端同序重绘，保留底图与执行闭环。
mobile,48,mobile_pages_60/048_mobile_other_home.svg,首页,质量看板,移动端同序重绘，保留底图与执行闭环。
mobile,49,mobile_pages_60/049_mobile_other_home.svg,首页,移动端导航规范,移动端同序重绘，保留底图与执行闭环。
mobile,50,mobile_pages_60/050_mobile_other_home.svg,首页,杭州 Mock 数据,移动端同序重绘，保留底图与执行闭环。
mobile,51,mobile_pages_60/051_mobile_other_home.svg,首页,答辩故事板,移动端同序重绘，保留底图与执行闭环。
mobile,52,mobile_pages_60/052_mobile_profile_me.svg,我的,个人中心总览,移动端同序重绘，保留底图与执行闭环。
mobile,53,mobile_pages_60/053_mobile_profile_me.svg,我的,账号设置,移动端同序重绘，保留底图与执行闭环。
mobile,54,mobile_pages_60/054_mobile_profile_me.svg,我的,记忆导出,移动端同序重绘，保留底图与执行闭环。
mobile,55,mobile_pages_60/055_mobile_profile_me.svg,我的,权限管理,移动端同序重绘，保留底图与执行闭环。
mobile,56,mobile_pages_60/056_mobile_share_message.svg,消息,最终 Demo 收束,移动端同序重绘，保留底图与执行闭环。
mobile,57,mobile_pages_60/057_mobile_plans_plan.svg,规划,备用方案选择,移动端同序重绘，保留底图与执行闭环。
mobile,58,mobile_pages_60/058_mobile_auth_plan.svg,规划,活动票务预约,移动端同序重绘，保留底图与执行闭环。
mobile,59,mobile_pages_60/059_mobile_exec_plan.svg,规划,排队候位,移动端同序重绘，保留底图与执行闭环。
mobile,60,mobile_pages_60/060_mobile_other_plan.svg,规划,餐厅菜单建议,移动端同序重绘，保留底图与执行闭环。
